,Unnamed: 0,Tree ID,Species,Latitude,Longitude,Year
13254,43113,8970,Tristaniopsis laurina :: Swamp Myrtle,37.7807375124349,-122.47358704446998,2004
13259,43120,8968,Tristaniopsis laurina :: Swamp Myrtle,37.7807504537293,-122.47339452998301,2005
13263,43139,50508,Melaleuca quinquenervia :: Cajeput,37.719600635122795,-122.43319212748301,2003
13270,43205,50221,Pittosporum crassifolium :: Karo Tree,37.7725772775948,-122.48584090834,2003
13273,43224,85073,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,37.7630776692381,-122.409195467269,2007
13274,43227,85072,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,37.7630776692381,-122.409195467269,2007
13275,43230,85069,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,37.7630776692381,-122.409195467269,2007
13276,43232,85070,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,37.7630776692381,-122.409195467269,2007
13291,43263,177352,Magnolia grandiflora :: Southern Magnolia,37.7265391050915,-122.44081552323999,2005
13292,43265,177353,Magnolia grandiflora :: Southern Magnolia,37.726485409251794,-122.44073098247401,2005
13293,43266,177351,Magnolia grandiflora :: Southern Magnolia,37.7265892548896,-122.440914152761,2005
13295,43291,16203,Chamaerops humilis :: Mediterranean Fan Palm,37.731554201452106,-122.446979509806,2003
13296,43292,16215,Chamaerops humilis :: Mediterranean Fan Palm,37.7315540305774,-122.446891144221,2003
13319,43334,85673,Acer rubrum 'Red Sunset' :: Red Swamp Maple,37.7812695783915,-122.395810717988,2007
13320,43335,85671,Acer rubrum 'Red Sunset' :: Red Swamp Maple,37.7812695783915,-122.395810717988,2007
13321,43336,85674,Acer rubrum 'Red Sunset' :: Red Swamp Maple,37.7812695783915,-122.395810717988,2007
13322,43337,85670,Acer rubrum 'Red Sunset' :: Red Swamp Maple,37.7812695783915,-122.395810717988,2007
13323,43338,85672,Acer rubrum 'Red Sunset' :: Red Swamp Maple,37.7812695783915,-122.395810717988,2007
13333,43363,28893,Magnolia grandiflora :: Southern Magnolia,37.7796011808516,-122.397981636397,2006
13343,43416,52659,Callistemon viminalis :: Weeping Bottlebrush,37.8056520959413,-122.44242280508999,2006
13345,43430,25480,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,37.7629925082126,-122.407145158522,2006
13359,43535,141431,Corymbia ficifolia :: Red Flowering Gum,37.776585419130896,-122.42481571306601,2005
13360,43536,52113,Corymbia ficifolia :: Red Flowering Gum,37.7765968250138,-122.42465811266199,2005
13388,43612,51457,Olea europaea :: Olive Tree,37.7349260410204,-122.416147708857,2004
13389,43613,51455,Olea europaea :: Olive Tree,37.7349260410204,-122.416147708857,2004
13390,43614,51456,Olea europaea :: Olive Tree,37.7349260410204,-122.416147708857,2004
13391,43615,51454,Olea europaea :: Olive Tree,37.7349260410204,-122.416147708857,2004
13397,43635,85184,Eriobotrya deflexa :: Bronze Loquat,37.748966349809606,-122.419197411761,2006
13409,43671,15813,Melaleuca quinquenervia :: Cajeput,37.71815444799179,-122.439618338087,2003
13439,43782,23182,Lophostemon confertus :: Brisbane Box,37.7800621132124,-122.42015990463001,2005
13472,43881,16202,Trachycarpus fortunei :: Windmill Palm,37.7316178141427,-122.446556643647,2003
13473,43882,16201,Trachycarpus fortunei :: Windmill Palm,37.7316178141427,-122.446556643647,2003
13498,43971,29970,Cotoneaster SPP :: Cotoneaster,37.7284560756763,-122.472181363504,2007
13501,43974,29964,Metrosideros excelsa :: New Zealand Xmas Tree,37.728589218496296,-122.472146582199,2007
13503,43976,29969,Corymbia ficifolia :: Red Flowering Gum,37.728180373200495,-122.471982668172,2007
13509,43982,29579,Syzygium paniculatum :: Brush Cherry,37.7286882509598,-122.472189710993,2007
13510,43983,29972,Acacia melanoxylon :: Blackwood Acacia,37.7284219643784,-122.47220779725299,2007
13514,43987,29975,Corymbia ficifolia :: Red Flowering Gum,37.72865698961311,-122.471959668,2007
13515,43988,29973,Pittosporum crassifolium :: Karo Tree,37.7284054591375,-122.472174407226,2007
13516,43990,29974,Pittosporum crassifolium :: Karo Tree,37.728406559007205,-122.47216049472,2007
13517,43991,29967,Corymbia ficifolia :: Red Flowering Gum,37.7280566705545,-122.471987268219,2007
13522,44003,29966,Corymbia ficifolia :: Red Flowering Gum,37.7279802659702,-122.471989567778,2007
13523,44017,91796,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,37.786078905224706,-122.39302038306002,2007
13524,44018,91795,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,37.786078905224706,-122.39302038306002,2007
13529,44039,9706,Lophostemon confertus :: Brisbane Box,37.7780475630877,-122.423122534696,2005
13542,44094,4634,Liquidambar styraciflua :: American Sweet Gum,37.799747198685004,-122.40939911161502,2006
13543,44116,29369,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,37.733380755998894,-122.43326512830099,2005
13544,44124,29370,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,37.733373604614,-122.433224085933,2005
13545,44125,29371,Lophostemon confertus :: Brisbane Box,37.733384060718,-122.432954679755,2005
13546,44128,2000,Olea europaea :: Olive Tree,37.733384060718,-122.432954679755,2004
13561,44241,50845,Citrus spp :: Lemon: Orange: Lime,37.720327868118204,-122.430596285807,2004
13562,44242,50846,Callistemon viminalis :: Weeping Bottlebrush,37.720387218868495,-122.430553920527,2004
13578,44305,67292,Magnolia grandiflora :: Southern Magnolia,37.7266355452607,-122.42575490351601,2005
13595,44390,47686,Magnolia grandiflora :: Southern Magnolia,37.7856218895054,-122.414534054301,2005
13598,44393,29121,Magnolia grandiflora :: Southern Magnolia,37.7857436131333,-122.414565426956,2005
13620,44513,49220,Platanus x hispanica :: Sycamore: London Plane,37.7885414925604,-122.39615519799999,2003
13621,44514,49214,Liriodendron tulipifera :: Tulip Tree,37.7885414925604,-122.39615519799999,2003
13622,44515,49224,Liriodendron tulipifera :: Tulip Tree,37.7885414925604,-122.39615519799999,2003
13623,44516,49240,Ficus nitida :: Laurel Fig,37.7885414925604,-122.39615519799999,2003
13624,44517,49235,Ficus nitida :: Laurel Fig,37.7885414925604,-122.39615519799999,2003
13625,44518,49225,Liriodendron tulipifera :: Tulip Tree,37.7885414925604,-122.39615519799999,2003
13626,44519,49242,Acer rubrum :: Red Maple,37.7885414925604,-122.39615519799999,2003
